RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,BITS,1,RU,RUJB,TVL,-9,-9,-9,70,3,2021,3,4,1308,13,30,D,54.9417,19.4050,54.9167,19.4067,38G9,103,V,3,1,1,C,5.0000,-9,-9,-9,-9,-9,-9,4.4000,520,-9.0,-9.0,-9,-9.0000,-9,177,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,3.7,8.3,7.70,12.14,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,RU,RUJB,TVL,-9,-9,-9,70,2,2021,3,4,0736,11,30,D,54.8567,19.6600,54.8333,19.6633,38G9,64,V,1,1,1,C,5.0000,-9,-9,-9,-9,-9,-9,4.4000,520,-9.0,-9.0,-9,-9.0000,-9,174,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,3.1,3.4,7.74,7.96,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,174,52,2021,3,15,0821,10,29,D,56.0867,17.4182,56.0740,17.3796,41G7,41,V,173,1,1,R,6.2000,-9,-9,2778,270,-9,-9,4.4000,520,74.5,-9.0,213,-9.0000,-9,239,3.0000,2.7000,-9,-9.0000,-9,-9.0000,232,8,-9,-9.0000,3.1,3.1,7.26,7.26,N,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,172,51,2021,3,15,0537,11,30,D,55.8928,17.7294,55.9168,17.7445,40G7,62,V,171,1,1,R,5.5000,-9,-9,2963,360,-9,-9,4.4000,520,79.4,-9.0,213,-9.0000,-9,18,3.0000,3.0000,-9,-9.0000,-9,-9.0000,246,8,-9,-9.0000,3.5,3.6,7.52,7.53,N,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,56,11,2021,3,5,0557,10,30,N,55.8732,16.4264,55.8765,16.4692,40G6,52,V,55,1,1,R,6.2000,-9,-9,2963,320,-9,-9,4.4000,520,78.8,31.0,213,-9.0000,-9,84,3.0000,2.9000,-9,-9.0000,-9,-9.0000,334,7,-9,-9.0000,3.3,3.9,7.64,8.03,N,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,180,55,2021,3,16,0537,10,30,D,55.8662,16.4239,55.8646,16.4688,40G6,52,V,179,1,1,R,5.6000,-9,-9,2778,310,-9,-9,4.4000,520,77.6,30.0,213,-9.0000,-9,93,3.0000,2.9000,-9,-9.0000,-9,-9.0000,37,5,-9,-9.0000,3.2,4.2,7.45,8.19,Y,41,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,176,53,2021,3,15,1214,10,30,D,55.8027,16.6925,55.7783,16.7065,40G6,49,V,175,1,1,R,5.5000,-9,-9,2963,310,-9,-9,4.4000,520,80.7,32.0,213,-9.0000,-9,159,3.1000,2.7000,-9,-9.0000,-9,-9.0000,216,9,-9,-9.0000,3.2,4.4,7.56,8.27,Y,38,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,182,56,2021,3,16,0754,10,30,D,55.7894,16.6815,55.7638,16.6832,40G6,52,V,181,1,1,R,5.4000,-9,-9,2963,320,-9,-9,4.4000,520,81.0,-9.0,213,-9.0000,-9,178,3.0000,2.8000,-9,-9.0000,-9,-9.0000,46,6,-9,-9.0000,3.2,4.4,7.57,8.27,Y,40,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,170,50,2021,3,14,1226,10,30,D,55.7826,17.6970,55.8063,17.6810,40G7,58,V,169,1,1,R,5.1000,-9,-9,2778,360,-9,-9,4.4000,520,85.6,33.0,213,-9.0000,-9,341,3.0000,3.0000,-9,-9.0000,-9,-9.0000,334,10,-9,-9.0000,3.6,3.7,7.55,7.56,N,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,BITS,1,DK,26D4,TVL,-9,S,T,58,12,2021,3,5,0852,11,30,D,55.7060,16.1792,55.7188,16.2217,40G6,67,V,57,1,1,R,5.6000,-9,-9,2963,390,-9,-9,4.4000,520,75.4,31.0,213,-9.0000,-9,62,3.2000,3.2000,-9,-9.0000,-9,-9.0000,326,8,-9,-9.0000,3.1,9.4,7.61,15.20,Y,44,20,-9,-9,-9,-9,-9,-9,-9
