RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,36F567,167,2019,8,14,1640,-9,30,D,53.7476,5.1333,53.7408,5.0803,36F5,31,V,36F567,1,1,R,-9.0000,-9,8,3685,255,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,264,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,12,203,1.0000,18.5,18.5,35.98,35.98,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,36F564,164,2019,8,14,1106,-9,30,D,53.7701,5.7628,53.7676,5.6900,36F5,27,V,36F564,1,1,R,-9.0000,-9,8,4962,190,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,268,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,7,225,1.0000,19.1,19.1,34.79,35.03,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,36F315,115,2019,7,31,1654,-9,30,D,53.7711,3.4548,53.7473,3.4050,36F3,40,V,36F315,1,1,R,-9.0000,-9,8,4196,295,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,226,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,180,4,180,1.5000,18.4,-9.0,35.66,-9.00,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,37F865,165,2017,8,14,1811,-9,18,D,54.4315,8.0235,54.4326,8.0576,37F8,19,V,37F865,1,1,R,-9.0000,-9,8,2228,180,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,94,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,158,7,158,0.5000,18.4,18.4,30.37,30.38,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,37F536,136,2017,8,9,0543,-9,24,D,54.4365,5.8398,54.4683,5.8405,37F5,38,V,37F536,1,1,R,-9.0000,-9,8,3556,300,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,2,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,338,4,338,1.0000,18.0,18.0,34.59,34.59,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,38F647,147,2017,8,10,1313,-9,30,D,54.5693,6.3056,54.5556,6.3563,38F6,36,V,38F647,1,1,R,-9.0000,-9,8,3647,250,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,122,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,315,4,315,1.0000,17.8,17.5,34.43,34.43,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,38F314,114,2017,8,2,1642,-9,30,D,54.5743,3.3246,54.6121,3.3363,38F3,36,V,38F314,1,1,R,-9.0000,-9,8,4100,280,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,10,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,7,90,1.5000,17.3,11.8,34.73,34.56,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,38F762,162,2017,8,14,1203,-9,30,D,54.5761,7.1995,54.5570,7.2568,38F7,30,V,38F762,1,1,R,-9.0000,-9,8,4275,250,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,126,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,158,4,158,0.5000,17.4,17.3,33.61,33.62,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,38F419,119,2017,8,3,1156,-9,30,D,54.6523,4.4588,54.6330,4.4416,38F4,49,V,38F419,1,1,R,-9.0000,-9,8,4492,340,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,344,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,12,225,2.3000,17.5,13.5,34.51,34.48,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,38F737,137,2017,8,9,1112,-9,30,D,54.6551,5.6528,54.6931,5.6371,38F5,39,V,38F737,1,1,R,-9.0000,-9,8,4375,270,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,347,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,4,338,1.0000,17.4,17.4,34.41,34.41,-9,-9,40,-9,-9,-9,-9,-9,-9,-9
