RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,16,33,2019,9,30,1204,-9,30,D,51.2077,2.8310,51.1952,2.7990,31F2,13,V,-9,1,6,R,-9.0000,BM,0,2633,40,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,5,-9,-9.0000,-9.0,16.7,33.51,35.38,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,93,1,2021,9,8,0903,-9,30,D,51.3836,3.2132,51.3952,3.2509,31F3,9,I,-9,1,1,R,-9.0000,BM,0,2921,30,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,64,3.2000,-9.0000,-9,-9.0000,-9,-9.0000,94,4,-9,-9.0000,-9.0,19.0,30.13,30.38,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,35,2,2021,9,8,1056,-9,30,D,51.4666,3.1888,51.4480,3.1547,31F3,10,I,-9,1,1,R,-9.0000,BM,0,3149,30,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,229,3.2000,-9.0000,-9,-9.0000,-9,-9.0000,75,4,-9,-9.0000,-9.0,19.0,31.79,31.89,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,37,3,2021,9,8,1204,-9,30,D,51.5123,3.2106,51.4976,3.1719,32F3,16,I,-9,1,1,R,-9.0000,BM,0,3145,50,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,239,3.2000,-9.0000,-9,-9.0000,-9,-9.0000,55,3,-9,-9.0000,-9.0,18.8,32.18,32.33,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,1,4,2021,9,8,1302,-9,30,D,51.4465,3.2525,51.4293,3.2189,31F3,9,I,-9,1,1,R,-9.0000,BM,0,3014,30,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,231,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,69,5,-9,-9.0000,-9.0,19.1,31.76,31.86,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,16,5,2021,9,9,0733,-9,30,D,51.1922,2.7911,51.2058,2.8264,31F2,6,V,-9,1,1,R,-9.0000,BM,0,2888,20,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,58,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,232,2,-9,-9.0000,-9.0,19.1,31.04,31.19,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,17,6,2021,9,9,0855,-9,30,D,51.1823,2.7360,51.1964,2.7716,31F2,6,V,-9,1,1,R,-9.0000,BM,0,2943,25,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,57,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,258,3,-9,-9.0000,-9.0,19.1,31.16,31.39,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,23,7,2021,9,9,1043,-9,30,D,51.1472,2.5882,51.1599,2.6274,31F2,14,V,-9,1,1,R,-9.0000,BM,0,3083,45,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,62,3.2000,-9.0000,-9,-9.0000,-9,-9.0000,297,3,-9,-9.0000,-9.0,19.2,31.36,31.73,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,24,8,2021,9,9,1215,-9,30,D,51.1747,2.5973,51.1588,2.5637,31F2,13,V,-9,1,1,R,-9.0000,BM,0,2936,40,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,233,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,304,4,-9,-9.0000,-9.0,19.3,32.04,32.42,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
HH,DYFS,3,BE,11SS,BT6,-9,-9,-9,19,9,2021,9,9,1325,-9,30,D,51.1852,2.6925,51.1721,2.6577,31F2,15,V,-9,1,1,R,-9.0000,BM,0,2831,45,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,239,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,304,4,-9,-9.0000,-9.0,19.3,32.04,31.99,-9,-9,22,-9,-9,-9,-9,-9,-9,-9
