"country_waters","subregion","region","ite_id","Survey_id","hal_id","SurveyName","Project_id","Date","sur_policy","Ship","Gear","Country","Originator","Collator","StNo","HaulNo","CoordRefSys","ShootLat","ShootLong","HaulLat","HaulLong","HaulDepth","Distance","GroundSpeed","WingSpread","DoorSpread","WarpLength","LTREF","PARAM","LTSZC","LTSRC","TYPPL","LTPRP","UnitWgt","LT_Weigth","UnitItem","LT_Items","Shot_timestamp","HaulDur","local_cdi_id"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",417733,131101,317976,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"2",52,4326,"51.6617","2.7615","51.6337","2.7302","34",3795,"4",NULL,NULL,230,"C_TS_REV","A5","A",NULL,NULL,NULL,"kg/haul",NULL,"items/haul",1,"2012-09-06 06:56:00+02",30,"2000317976"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",405870,131101,317981,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"36",54,4326,"51.4745","2.3675","51.4597","2.3222","31",3556,"4.9",NULL,NULL,208,"C_TS_REV","A6","A",NULL,NULL,NULL,"kg/haul",NULL,"items/haul",1,"2012-09-06 10:10:00+02",30,"2000317981"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",411436,131101,317981,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"36",54,4326,"51.4745","2.3675","51.4597","2.3222","31",3556,"4.9",NULL,NULL,208,"C_TS_REV","A7","A",NULL,NULL,NULL,"kg/haul",NULL,"items/haul",1,"2012-09-06 10:10:00+02",30,"2000317981"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",395543,131101,317981,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"36",54,4326,"51.4745","2.3675","51.4597","2.3222","31",3556,"4.9",NULL,NULL,208,"C_TS_REV","A3","C",NULL,NULL,NULL,"kg/haul",NULL,"items/haul",1,"2012-09-06 10:10:00+02",30,"2000317981"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",418276,131101,317983,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"1",53,4326,"51.432","2.5598","51.4078","2.531","24",3354,"4.3",NULL,NULL,160,"C_TS_REV","A14","D",NULL,NULL,NULL,"kg/haul","0.061","items/haul",1,"2012-09-06 08:52:00+02",30,"2000317983"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",401095,131101,317983,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"1",53,4326,"51.432","2.5598","51.4078","2.531","24",3354,"4.3",NULL,NULL,160,"C_TS_REV","C6","C",NULL,NULL,NULL,"kg/haul","0.071","items/haul",1,"2012-09-06 08:52:00+02",30,"2000317983"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",425085,131101,317983,"BTS",11607,"2012-09-06 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"1",53,4326,"51.432","2.5598","51.4078","2.531","24",3354,"4.3",NULL,NULL,160,"C_TS_REV","F3","C",NULL,NULL,NULL,"kg/haul","0.059","items/haul",1,"2012-09-06 08:52:00+02",30,"2000317983"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",394523,131172,318276,"BTS",11607,"2012-08-27 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"86",2,4326,"51.3275","2.6355","51.2923","2.629","21",3938,"4.1",NULL,NULL,127,"C_TS_REV","A5","A",NULL,NULL,NULL,"kg/haul","0.001","items/haul",2,"2012-08-27 16:32:00+02",30,"2000318276"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",410329,131172,318276,"BTS",11607,"2012-08-27 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"86",2,4326,"51.3275","2.6355","51.2923","2.629","21",3938,"4.1",NULL,NULL,127,"C_TS_REV","C1","C",NULL,NULL,NULL,"kg/haul","0.283","items/haul",1,"2012-08-27 16:32:00+02",30,"2000318276"
"Belgium","Greater North Sea, incl. the Kattegat and the English Channel","North East Atlantic Ocean",393005,131172,318277,"BTS",11607,"2012-08-27 00:00:00+02","CB","11BE","BT4A","BE",1478,730,"40",1,4326,"51.3587","2.933","51.3478","2.9132","16",1833,"4.4",NULL,NULL,90,"C_TS_REV","A2","A",NULL,NULL,NULL,"kg/haul","0.001","items/haul",1,"2012-08-27 15:15:00+02",15,"2000318277"
