RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0922,98,2014,11,13,0848,4,30,D,49.0602,-10.5602,49.0764,-10.6021,27D9,147,V,S0922,1,1,R,3.9000,-9,,3542,490,26,,4.5000,1300,90.0,,145,0.7000,210,288,3.8000,3.5000,,,,,194,19,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0923,99,2014,11,13,1106,5,31,D,49.0656,-10.8054,49.0996,-10.8005,27D9,164,V,S0923,1,1,R,4.1000,-9,,3800,541,26,,4.5000,1300,92.0,,145,0.7000,210,285,3.9000,3.6000,,,,,225,18,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0924,100,2014,11,13,1433,4,31,D,49.5085,-10.7917,49.5164,-10.8427,28D9,160,V,S0924,1,1,R,4.0000,-9,,3785,525,26,,4.5000,1300,95.0,,145,0.7000,210,271,3.9000,3.7000,,,,,212,29,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0925,101,2014,11,13,1640,5,31,D,49.5242,-10.8894,49.5165,-10.8406,28D9,166,V,S0925,1,1,R,4.3000,-9,,3629,526,26,,4.5000,1300,93.0,,145,0.7000,210,112,3.7000,3.5000,,,,,194,23,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0926,102,2014,11,14,0850,4,31,D,49.7206,-10.5007,49.7544,-10.4989,28D9,139,V,S0926,1,1,R,4.3000,-9,,3766,480,26,,4.5000,1300,89.0,,145,0.7000,210,350,3.9000,3.7000,,,,,208,15,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0927,103,2014,11,14,1104,4,31,D,49.7552,-10.1625,49.7335,-10.1226,28D9,143,V,S0927,1,1,R,4.3000,-9,,3766,492,26,,4.5000,1300,91.0,,145,0.7000,210,139,3.9000,3.3000,,,,,221,21,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0928,104,2014,11,14,1401,4,31,D,49.4979,-9.7844,49.5324,-9.7860,27E0,147,V,S0928,1,1,R,4.1000,-9,,3836,491,26,,4.5000,1300,89.0,,145,0.7000,210,268,3.9000,4.2000,,,,,219,14,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0929,105,2014,11,14,1616,4,31,D,49.4100,-9.8481,49.4276,-9.8947,27E0,147,V,S0929,1,1,R,4.0000,-9,,3902,501,26,,4.5000,1300,94.0,,145,0.7000,210,74,4.2000,3.6000,,,,,56,20,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0930,106,2014,11,15,0846,4,30,D,48.9579,-9.1945,48.9817,-9.1587,26E0,160,V,S0930,1,1,R,4.0000,-9,,3709,531,26,,4.5000,1300,93.0,,145,0.7000,210,46,3.9000,3.2000,,,,,197,22,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0931,107,2014,11,15,1217,4,31,D,48.7644,-8.5835,48.7889,-8.5468,26E1,152,V,S0931,1,1,R,4.0000,-9,,3818,501,26,,4.5000,1300,90.0,,145,0.7000,210,43,4.0000,4.0000,,,,,206,8,,,,,,,,,,,,,,,,
