RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,MB24,19,2014,9,28,1033,36,30,D,56.0300,-8.0660,56.0440,-8.0120,41E1,149,V,,1,2,R,3.9000,-9,,3709,485,26,,5.2000,1400,113.1,21.0,247,,2212,65,4.0000,,,,,,217,9,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,FG93,20,2014,9,28,1229,36,30,D,56.0380,-7.6990,56.0580,-7.6510,41E2,156,V,,1,2,R,,-9,,3729,499,26,,5.2000,1400,111.7,20.9,247,,2212,53,4.0000,,,,,,210,7,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,GD11,3,2014,9,25,1313,36,30,D,54.8330,-10.3150,54.8640,-10.2860,38D9,193,V,,1,2,R,4.1000,-9,,3921,595,26,,5.2000,1400,116.5,22.3,247,,2212,28,4.2000,,,,,,245,21,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,FG108,4,2014,9,25,1546,36,30,D,55.0770,-10.0720,55.1060,-10.0450,39D9,235,V,,1,2,R,4.1000,-9,,3659,718,26,,5.2000,1400,117.2,22.3,247,,2212,28,3.9000,,,,,,226,26,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,150,1,2014,9,25,0716,34,30,D,54.5320,-10.3210,54.5610,-10.2890,38D9,119,V,,1,2,R,4.1000,-9,,3835,415,26,,5.2000,1400,106.6,20.4,247,,2212,32,4.1000,,,,,,255,19,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,GD1,9,2014,9,26,1514,34,30,D,55.0430,-9.1890,55.0710,-9.2230,39E0,92,V,,1,2,R,4.1000,-9,,3799,349,26,,5.2000,1400,104.5,19.2,247,,2212,325,4.1000,,,,,,250,21,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,GD8,10,2014,9,26,1810,34,30,D,55.2400,-9.5700,55.2180,-9.6140,39E0,116,V,,1,2,R,4.1000,-9,,3719,402,26,,5.2000,1400,108.4,,247,,2212,228,4.0000,,,,,,231,17,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,SC555,7,2014,9,26,0839,34,30,D,54.5950,-8.8740,54.5830,-8.9280,38E1,88,V,,1,2,R,4.4000,-9,,3737,324,26,,5.2000,1400,99.2,19.7,247,,2212,249,4.0000,,,,,,266,14,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,R213,12,2014,9,27,0849,34,30,D,55.5860,-9.1660,55.6200,-9.1660,40E0,107,V,,1,2,R,4.1000,-9,,3785,390,26,,5.2000,1400,106.9,20.6,247,,2212,360,4.1000,,,,,,217,21,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,6A,24,2014,9,29,0840,34,30,D,55.6690,-8.6640,55.6620,-8.6060,40E1,93,V,,1,2,R,4.3000,-9,,3732,349,26,,5.2000,1400,104.1,20.4,247,,2212,102,4.0000,,,,,,178,9,,,,,,,,,,,,,,,,
