RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0138,45,2020,1,26,0915,-9,25,D,53.4640,1.5828,53.4386,1.5689,35F1,29,V,Y0138,1,1,C,5.9000,-9,,2974,100,26,,4.5000,1300,45.1,13.6,145,0.7000,210,206,3.0000,3.4000,,,,,189,,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0100,31,2020,1,22,0934,-9,30,D,53.4381,2.8587,53.4089,2.8374,35F2,31,V,Y0100,1,1,C,5.7000,-9,,3544,120,26,,4.5000,1300,50.9,14.9,145,0.7000,210,197,3.0000,3.1000,,,,,306,,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0101,32,2020,1,22,1159,-9,30,D,53.3598,2.4400,53.3774,2.3885,35F2,32,V,Y0101,1,1,C,6.1000,-9,,3942,115,26,,4.5000,1300,53.3,16.0,145,0.7000,210,287,4.0000,2.6000,,,,,333,,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0076,22,2020,1,18,0751,-9,30,D,53.2442,4.2035,53.2191,4.2186,35F4,30,V,Y0076,1,1,C,5.8000,-9,,2969,120,26,,4.5000,1300,46.5,14.0,145,0.7000,210,174,3.0000,3.7000,,,,,284,,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0077,23,2020,1,18,1101,-9,30,D,53.1699,3.7489,53.1429,3.7651,35F3,29,V,Y0077,1,1,C,5.8000,-9,,3194,129,26,,4.5000,1300,50.1,14.8,145,0.7000,210,179,3.0000,4.0000,,,,,309,,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,Y0139,46,2020,1,26,1204,-9,30,D,53.1430,1.7728,53.1203,1.7409,35F1,35,V,Y0139,1,1,C,5.5000,-9,,3305,130,26,,4.5000,1300,50.6,15.6,145,0.7000,210,210,3.0000,3.6000,,,,,187,,,,,,,,,,,,,,,,,
HH,NS-IBTS,3,GB,74E9,GOV,40,,P,75,185,2013,8,28,1943,-9,27,D,61.0408,2.6540,61.0538,2.5968,51F2,222,V,,1,1,R,4.6000,-9,,3441,750,,,,,84.0,22.0,,,,298,4.1000,,258,0.2000,,,270,14,310,1.0000,,,,,,,,,,,,-9,,
HH,NS-IBTS,3,GB,74E9,GOV,40,,P,74,188,2013,8,29,0556,-9,30,D,61.1870,1.2997,61.2155,1.2643,51F1,153,V,,1,1,R,4.7000,-9,,3635,530,,,,,83.0,22.0,,,,333,3.9000,,182,0.1000,,,190,14,270,1.0000,,,,,,,,,,,,-9,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24110,301,2015,6,28,1447,-9,16,D,57.1384,6.2783,,,43F6,64,V,559,1,1,C,3.2000,-9,,1828,205,,,4.4000,1075,72.0,,,0.8000,,296,3.6000,,,,,,,,,,12.9,8.3,33.25,35.02,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24112,303,2015,6,28,1945,-9,30,D,57.1807,5.3502,,,43F5,54,V,560,1,1,C,3.1000,-9,,3377,180,,,4.4000,1075,70.0,,,0.8000,,30,3.6000,,,,,,,,,,12.4,7.5,34.16,34.94,,,,,,,,,,
