RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,SCOWCGFS,1,GB-SCT,748S,GOV,97,I2,P,77,77,2019,2,18,0800,WSQ1,30,D,59.5340,-4.3940,59.5060,-4.4110,48E5,104,V,74SC0059,1,1,R,5.1000,-9,,3283,335,28,,4.5000,1100,89.0,19.0,186,0.7000,,215,3.5000,,98,0.5000,,,170,18,170,2.0000,8.9,8.9,35.28,35.28,,,,,,,,,,
HH,SCOWCGFS,1,GB-SCT,748S,GOV,97,I2,P,78,78,2019,2,18,1042,WSQ1,30,D,59.7800,-4.4300,59.7500,-4.4370,48E5,118,V,74SC0060,1,1,R,5.0000,-9,,3396,380,28,,4.5000,1100,96.0,19.0,186,0.7000,,185,3.7000,,61,0.3000,,,170,18,170,2.0000,9.0,9.0,35.27,35.28,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,380,380,2017,11,21,0750,R1Q4,30,D,57.5200,-9.4000,57.4880,-9.3900,44E0,218,V,74SC0380,1,1,R,5.1000,-9,,3617,675,28,,4.5000,1100,105.0,20.0,186,0.7000,,175,3.8000,,359,0.2000,,,48,13,48,1.0000,11.0,10.3,35.29,35.33,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,381,381,2017,11,21,1547,R2Q4,30,D,56.4940,-8.5100,56.4830,-8.4570,41E1,154,V,74SC0381,1,1,R,4.8000,-9,,3745,500,28,,4.5000,1100,103.0,20.0,186,0.7000,,95,3.8000,,45,0.2000,,,15,12,12,1.5000,11.5,11.2,35.08,35.27,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,47,I2,P,382,382,2017,11,22,0750,R2Q4,30,D,55.5130,-7.0370,55.5180,-6.9820,40E2,77,V,74SC0382,1,1,R,5.2000,-9,,3650,272,28,,4.5000,1100,73.0,18.0,186,0.7000,,78,3.8000,,82,0.4000,,,359,7,359,0.5000,11.6,11.6,34.84,34.83,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,47,I2,P,383,383,2017,11,22,1029,R2Q4,30,D,55.3760,-6.7170,55.3810,-6.7700,39E3,78,V,74SC0383,1,1,R,6.7000,-9,,3606,265,28,,4.5000,1100,69.0,17.0,186,0.7000,,280,3.7000,,90,0.9000,,,350,8,350,0.5000,11.8,11.7,34.55,34.73,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,384,384,2017,11,22,1415,B2Q4,30,D,55.4990,-6.0070,55.5170,-5.9610,39E3,92,V,74SC0384,1,1,R,5.3000,-9,,3824,270,28,,4.5000,1100,77.0,18.0,186,0.7000,,65,3.8000,,333,0.4000,,,351,7,330,0.5000,12.0,12.1,34.03,34.12,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,385,385,2017,11,24,1104,CLQ4,18,D,55.6760,-5.0840,55.6640,-5.0590,40E4,161,V,,1,1,R,4.3000,-9,,2244,500,28,,4.5000,1100,89.0,24.0,186,0.7000,,135,3.8000,,184,0.1000,,,278,9,270,0.5000,,,,,,,,,,,,,,
HH,SCOWCGFS,1,GB-SCT,748S,GOV,97,I2,P,79,79,2019,2,18,1306,R1Q1,30,D,59.9130,-4.4210,59.8830,-4.4210,48E5,140,V,74SC0061,1,1,R,4.8000,-9,,3368,450,28,,4.5000,1100,100.0,20.0,186,0.7000,,185,3.7000,,250,0.2000,,,180,17,180,2.3000,9.1,9.1,35.30,35.30,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,409,409,2016,11,24,1255,R2Q4,15,D,56.1290,-8.6700,56.1160,-8.6870,41E1,123,V,74SC0425,1,1,R,5.6000,-9,,1784,385,28,,4.5000,1100,98.0,18.0,186,0.7000,,220,3.9000,,341,0.1000,,,205,4,280,0.5000,11.3,10.8,35.11,35.28,,,,,,,,,,
